imei,model,capacity,color,lock_status,graded,price,updated_at,invno,invtype
353238100433431,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353238106841256,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353245100315658,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353250105313153,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353250106391844,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353233100832898,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353233102604402,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353233109593905,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353240100443634,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353240102027559,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353243108328740,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353244101601695,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353244102471742,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353246100060187,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353247107396418,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353248103001192,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353250102573387,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353826105949219,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353232102116458,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353232107220222,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353233103546974,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234100790961,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234107355297,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234108615228,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353235103721382,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353236103795582,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353236106629119,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353237100004978,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353237103113669,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353237108437246,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353238106971459,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353238109466218,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353239105667882,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353239107238088,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353242105097662,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353246102403088,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353246106650379,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353248105952459,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353248107656835,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353249100161740,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353826103107869,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353826109208026,11 PRO,256GB,GOLD,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353232107763825,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234100080298,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234100826385,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234103592786,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234105133472,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353234106365727,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353236103290600,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353236108487003,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353236109221443,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353237102201960,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353238101843067,11 PRO,256GB,SPACE GRAY,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353239106948166,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353239107841410,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353239108728335,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353239109922515,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353240103829441,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353240107664927,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353240107918687,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353240109000898,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353241104123586,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353241104144533,11 PRO,256GB,SILVER,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
353242103073343,11 PRO,256GB,MIDNIGHT GREEN,UNLOCKED,TRUE,175.2727273,2025-11-18 9:30:27,20959,raw
